halId,primaryDomain,journalPublisher,vorIsOa,anrProject,submittedDate
hal-03799889,phys.phys.phys-bio-ph,eLife Sciences Publication,True,,2022-10-06
hal-03798290,sdv.bc.bc,,False,,2022-10-05
hal-03788705,sdv.mhep.mi,MDPI,True,,2022-09-26
hal-03559481,phys.meca.mefl,Cambridge University Press (CUP),True,,2022-09-25
hal-03783673,sdv,American Chemical Society,True,,2022-09-22
hal-03782836,sdv.neu.nb,MDPI,True,,2022-09-21
hal-03779985,sdv.bbm.bs,National Academy of Sciences,True,,2022-09-18
hal-03722336,sdv,Nature Publishing Group,True,,2022-07-13
pasteur-03716706,sdv.bbm.bc,Elsevier,True,True,2022-07-07
lirmm-03714595,info.info-ai,,False,,2022-07-05
pasteur-03712988,sdv,,False,True,2022-07-04
hal-03579777,phys.astr,,True,,2022-06-20
pasteur-03699210,sdv,ACS Publications,True,,2022-06-20
pasteur-03694335,info.info-bi,Nature Publishing Group,True,,2022-06-13
hal-03684839,sdv,Nature Publishing Group,True,,2022-06-01
pasteur-03675874,sdv,American Society for Microbiology,True,True,2022-05-23
hal-03659222,sdv,Elsevier,True,,2022-05-04
pasteur-03648366,sdv.bbm.bc,National Academy of Sciences,True,,2022-04-21
hal-03648068,sdv,Public Library of Science,True,True,2022-04-21
hal-03646797,sdv.ib.ima,Wiley,True,,2022-04-19
pasteur-03606359,sdv.bbm.bc,Wiley-VCH Verlag,True,True,2022-03-11
hal-03599283,sdv,Oxford University Press,True,,2022-03-07
pasteur-03589312,sdv,American Society for Microbiology,True,,2022-02-25
hal-03532947,phys,American Institute of Physics,False,True,2022-02-21
pasteur-03566824,sdv,Society for General Microbiology,True,,2022-02-11
pasteur-03566563,sdv.imm,Wiley-VCH Verlag,True,True,2022-02-11
hal-03544037,phys.meca.mema,Elsevier,True,,2022-01-26
hal-03538870,sdv.mhep,Cambridge University Press (CUP),True,,2022-01-21
hal-03485170,shs,BioMed Central,True,,2022-01-19
hal-03521407,sdv.mp.pro,Nature Publishing Group,True,True,2022-01-13
hal-03517488,shs.anthro-se,Taylor & Francis (Routledge),True,,2022-01-07
hal-03515260,sdv.mp,Frontiers Media,True,,2022-01-06
pasteur-03491954,sdv.mp.par,Nature Publishing Group,True,,2021-12-18
inserm-03474321,sdv,BioMed Central,True,,2021-12-10
inserm-03472445,sdv,BMJ Publishing Group Ltd,True,,2021-12-09
hal-03472238,sdv,,True,True,2021-12-09
hal-03454274,sdv.bc.bc,,False,,2021-11-29
inserm-03451518,sdv,Public Library of Science,True,,2021-11-26
hal-03448955,sdv.bc.bc,Frontiers media,True,,2021-11-25
hal-03404534,sdv.ib,Wiley,True,,2021-10-26
hal-03389681,phys.cond.cm-ms,Elsevier,True,,2021-10-21
hal-03367845,sdu,Elsevier,True,,2021-10-06
hal-03365863,sdv,Rockefeller University Press,True,,2021-10-05
hal-03358372,sdv,Oxford University Press,True,,2021-09-29
hal-03357198,scco.neur,Nature Publishing Group,True,,2021-09-28
inserm-03356444,sdv,BioMed Central,True,,2021-09-28
pasteur-03346634,sdv,American Society for Microbiology,True,True,2021-09-16
hal-03346442,scco.neur,American Association for the Advancement of Science (AAAS),False,,2021-09-16
hal-03346287,math.math-oc,,False,,2021-09-16
hal-03344682,sdv,Public Library of Science,True,True,2021-09-15
hal-03084366,phys.meca.mefl,Cambridge University Press (CUP),False,,2021-09-07
hal-03328505,sdv.spee,,True,,2021-08-30
hal-03240376,info.info-bi,,True,,2021-05-28
hal-03218707,sdv.bc,Rockefeller University Press,False,,2021-05-05
hal-03060601,shs.info,,False,,2020-12-14
