,primaryDomain_s,journalPublisher_s,journalIssn_s,halId_s,docType_s,doiId_s,submittedDate_s,anrProjectAcronym_s,upw_issns,upw_vor_is_oa
0,phys.phys.phys-bio-ph,eLife Sciences Publication,2050-084X,hal-03799889,ART,10.7554/eLife.72707,2022-10-06,False,2050-084X,True
1,sdv.bc.bc,,,hal-03798290,UNDEFINED,10.1101/2022.09.23.509043,2022-10-05,False,,False
2,sdv.mhep.mi,MDPI,2076-0817,hal-03788705,ART,10.3390/pathogens11091045,2022-09-26,False,2076-0817,True
3,phys.meca.mefl,Cambridge University Press (CUP),0022-1120,hal-03559481,ART,10.1017/jfm.2022.658,2022-09-25,False,"0022-1120,1469-7645",True
4,sdv,American Chemical Society,0022-2623,hal-03783673,ART,10.1021/acs.jmedchem.1c00806,2022-09-22,False,"0022-2623,1520-4804",True
5,sdv.neu.nb,MDPI,2073-4409,hal-03782836,ART,10.3390/cells11172713,2022-09-21,False,2073-4409,True
6,sdv.bbm.bs,National Academy of Sciences,0027-8424,hal-03779985,ART,10.1073/pnas.2200468119,2022-09-18,False,"0027-8424,1091-6490",True
7,sdv,Nature Publishing Group,1548-7091,hal-03722336,ART,10.1038/s41592-021-01317-x,2022-07-13,False,"1548-7091,1548-7105",True
8,sdv.bbm.bc,Elsevier,0955-0674,pasteur-03716706,ART,10.1016/j.ceb.2022.102081,2022-07-07,True,0955-0674,True
9,info.info-ai,,,lirmm-03714595,COMM,10.14778/3551793.3551851,2022-07-05,False,2150-8097,False
10,sdv,,,pasteur-03712988,UNDEFINED,10.1101/2021.08.30.458241,2022-07-04,True,,False
11,phys.astr,,,hal-03579777,ART,10.3847/1538-4365/ac5022,2022-06-20,False,"0067-0049,1538-4365",True
12,sdv,ACS Publications,2470-1343,pasteur-03699210,ART,10.1021/acsomega.2c01099,2022-06-20,False,"2470-1343,2470-1343",True
13,info.info-bi,Nature Publishing Group,2041-1723,pasteur-03694335,ART,10.1038/s41467-022-28121-1,2022-06-13,False,2041-1723,True
14,sdv,Nature Publishing Group,2041-1723,hal-03684839,ART,10.1038/s41467-021-25649-6,2022-06-01,False,2041-1723,True
15,sdv,American Society for Microbiology,2161-2129,pasteur-03675874,ART,10.1128/mbio.03510-21,2022-05-23,True,2150-7511,True
16,sdv,Elsevier,0092-8674,hal-03659222,ART,10.1016/j.cell.2021.08.016,2022-05-04,False,0092-8674,True
17,sdv.bbm.bc,National Academy of Sciences,0027-8424,pasteur-03648366,ART,10.1073/pnas.2122161119,2022-04-21,False,"0027-8424,1091-6490",True
18,sdv,Public Library of Science,1935-2727,hal-03648068,ART,10.1371/journal.pntd.0010256,2022-04-21,True,1935-2735,True
19,sdv.ib.ima,Wiley,0740-3194,hal-03646797,ART,10.1002/mrm.29216,2022-04-19,False,"0740-3194,1522-2594",True
